Agency/Department,Contract Number,Contract Value,Supplier,Procurement Type,Description,Type of Solicitation,Effective From,Effective To
City Wide,25000000659,200000.00,Break the Norm Leadership,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training, Employee D/ 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/19/2024 12:00:00 AM,08/18/2029 12:00:00 AM
City Wide,25000000660,150000.00,Carrington Consulting,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process Management, Employee Development, Org Design, Cu/ 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",09/12/2024 12:00:00 AM,09/11/2029 12:00:00 AM
City Wide,25000000662,100000.00,VCU OFFICE OF PUBLIC POLICY,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Change Process, Workforce Training, Employee Development, Organizational Design, Cultural Change / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/27/2024 12:00:00 AM,08/26/2029 12:00:00 AM
City Wide,25000000663,100000.00,"Corrin & King Business Strategies, LLC",Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Program Management, Workforce Training, Employee Development, Organizational Design, Cultural Change Management / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/13/2024 12:00:00 AM,08/12/2029 12:00:00 AM
City Wide,25000000664,200000.00,Conteh & Brown Group LLC,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training, Employee D/ 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",09/06/2024 12:00:00 AM,09/05/2029 12:00:00 AM
City Wide,25000000665,100000.00,"Daniel Lynn & Company, LLC",Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Project Planning, and Program Management Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/05/2024 12:00:00 AM,08/04/2029 12:00:00 AM
City Wide,25000000667,150000.00,"District Partnerships & Consulting, LLC",Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",07/30/2024 12:00:00 AM,07/29/2029 12:00:00 AM
City Wide,25000000668,125000.00,Eddings Enterprises,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Employee Development, Organizational Design / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/05/2024 12:00:00 AM,08/04/2029 12:00:00 AM
City Wide,25000000670,150000.00,"Gartner, Inc",Invitation to Bid,"IFB# 240009727 // DO NOT USE //Implementation Management, Project Planning, Program Management, Change Process, Org Design, and Cultural Change Management / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",09/05/2024 12:00:00 AM,09/04/2029 12:00:00 AM
City Wide,25000000673,200000.00,GME Enterprises,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training, Employee D/ 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",09/04/2024 12:00:00 AM,09/03/2029 12:00:00 AM
City Wide,25000000674,500000.00,"HDR Engineering, Inc.",Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process Management, Talent Advisory, Workforce Training,/ 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",09/19/2024 12:00:00 AM,09/18/2029 12:00:00 AM
City Wide,25000000675,200000.00,"Health Management Associates, Inc.",Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Workforce Training, Employee Development, Org. / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/13/2024 12:00:00 AM,08/12/2029 12:00:00 AM
City Wide,25000000677,50000.00,Hillstock & Associates,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Workforce Training Consultant / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/01/2024 12:00:00 AM,07/31/2029 12:00:00 AM
City Wide,25000000678,200000.00,"Hollin Wright Enterprises, LLC",Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training, Employee / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/05/2024 12:00:00 AM,08/04/2029 12:00:00 AM
City Wide,25000000679,200000.00,HR AND A Advisors Inc.,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Change Process, Cultural Change, Investment Consultant, Real Estate and Infrastructure, Retail Revitalization, Urban Developmen / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/05/2024 12:00:00 AM,08/04/2029 12:00:00 AM
City Wide,25000000680,250000.00,HUB International Midwest Limited,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Change Process Management, Talent Advisory Consulting, and Workforce Training Services/ 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/01/2024 12:00:00 AM,07/31/2029 12:00:00 AM
City Wide,25000000681,200000.00,"Impact Makers, Inc.",Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training, Employee / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/12/2024 12:00:00 AM,08/11/2029 12:00:00 AM
City Wide,25000000682,250000.00,Invoti L.L.C.,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training, Employee / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/23/2024 12:00:00 AM,08/22/2029 12:00:00 AM
City Wide,25000000683,100000.00,"iZeal, Ind",Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/19/2024 12:00:00 AM,08/18/2029 12:00:00 AM
City Wide,25000000684,150000.00,"Jones Lang LaSalle Americas, Inc.",Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Project Planning, Investment and Management, Real Estate and Infrastructure, Retail Revitalization and Redevelopment, Urban Dev / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/27/2024 12:00:00 AM,08/26/2029 12:00:00 AM
City Wide,25000000685,200000.00,KGO LLC,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services-Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory Consulting, Workforce Training / 5-Year Initial Term, (2) 2-Year Renewals","Non Professional Services, Non Technology",08/02/2024 12:00:00 AM,08/01/2029 12:00:00 AM
City Wide,25000000687,100000.00,Love My Credit Consulting Firm,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",07/30/2024 12:00:00 AM,07/29/2030 12:00:00 AM
City Wide,25000000689,200000.00,Mid Dive LLC,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training/ 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/13/2024 12:00:00 AM,08/12/2029 12:00:00 AM
City Wide,25000000690,150000.00,ICMA-RC,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/16/2024 12:00:00 AM,08/15/2029 12:00:00 AM
City Wide,25000000691,500000.00,MK3 Solutions,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training, Cultural / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/20/2024 12:00:00 AM,08/19/2029 12:00:00 AM
City Wide,25000000693,200000.00,Performance Institute,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Workforce Training, Employee Dev., Org Design / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",09/05/2024 12:00:00 AM,09/04/2029 12:00:00 AM
City Wide,25000000695,200000.00,Precis Screening LLC,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training, Employee / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/01/2024 12:00:00 AM,07/31/2029 12:00:00 AM
City Wide,25000000696,200000.00,"Pulse HR Solutions, LLC",Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Mangement, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/12/2024 12:00:00 AM,08/11/2029 12:00:00 AM
City Wide,25000000697,250000.00,RAFTELIS FINANCIAL CONSULTANTS,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",07/30/2024 12:00:00 AM,07/29/2029 12:00:00 AM
City Wide,25000000698,150000.00,Rose Group International,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Workforce Training, Cultural Change / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/02/2024 12:00:00 AM,08/01/2029 12:00:00 AM
City Wide,25000000700,100000.00,RTDQ,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Project Planning, Program Management, Investment Consultant and Management, Real Estate and Infrastructure / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/05/2024 12:00:00 AM,08/04/2029 12:00:00 AM
City Wide,25000000701,100000.00,Simplified Solutions Systems LLC,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",07/25/2024 12:00:00 AM,07/24/2029 12:00:00 AM
City Wide,25000000702,750000.00,"Southeastern Institute of Research, Inc.",Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",07/24/2024 12:00:00 AM,07/23/2029 12:00:00 AM
City Wide,25000000703,100000.00,"Stone Cold Solutions, LLC",Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",07/31/2024 12:00:00 AM,07/30/2029 12:00:00 AM
City Wide,25000000704,150000.00,The Bladen Group,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Workforce Training, Organizational Design, Cult/ 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/27/2024 12:00:00 AM,08/26/2029 12:00:00 AM
City Wide,25000000705,200000.00,The Research Associates,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Retail Revitalization, Urban Dev. / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/05/2024 12:00:00 AM,08/04/2029 12:00:00 AM
City Wide,25000000706,900000.00,Robert Bobb Group LLC,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process, Talent Advisory, Workforce Training, Employee / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/02/2024 12:00:00 AM,08/01/2029 12:00:00 AM
City Wide,25000000707,200000.00,The Well Group LLC,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",07/24/2024 12:00:00 AM,07/23/2029 12:00:00 AM
City Wide,25000000708,100000.00,Twenty39,Invitation to Bid,"IFB# 240009727 / Citywide / Strategic Support Related Services - Implementation Management, Project Planning, Program Management, Change Process Management / 5-Year Initial Term, (2) 2-Year Renewal Terms","Non Professional Services, Non Technology",08/05/2024 12:00:00 AM,08/04/2029 12:00:00 AM
Police Department,25000000713,80583.00,"Tactical Innovations, LLC.",Agency Request,Req# 240011594 / RPD / BolaWrap and Accessories / Sole Source / Two-Year Initial Term with (3) One-Year Renewal Terms.,Equipment - Non Technology,07/19/2024 12:00:00 AM,07/18/2026 12:00:00 AM
City Council,25000001165,8000.00,Hanbury Evans Wright Vlattas,Small Purchase,Requisition #250001153 - City Council - Small Purchase - Professional Design and Marketing.,"Supplies, Non Technology",08/06/2024 12:00:00 AM,08/05/2025 12:00:00 AM
Public Utilities,25000001379,232720.00,ORACLE AMERICA INC,Request for Proposal,"Oracle Saas/PaaS CPQ3464418 -1 agreement, reference Master Agreement CSA-CPQ-311870 from RFP240002567","Supplies, Technology",08/16/2024 12:00:00 AM,08/15/2029 12:00:00 AM
Public Utilities,25000001384,4331292.17,ORACLE AMERICA INC,Request for Proposal,Oracle License Ordering CPQ-3118770 -1 Software Fees reference CSA CPQ3118770 from RFP240002567,"Supplies, Technology",08/16/2024 12:00:00 AM,08/15/2029 12:00:00 AM
Public Works,25000003006,195898.70,AJ Paving LLC,Small Purchase,"Req 250002500 - AJ Paving LLC FY-25 Sidewalks-Fax Back CONSTRUCTION SRVCS, GEN (INCL MAINT/REPAIR SRVCS) Small Purchase Construction",Construction - Term,10/08/2024 12:00:00 AM,01/11/2025 12:00:00 AM
Planning & Development Review,25000003575,50000.00,Palms & Pines LLC,Invitation to Bid,Requisition 240012594/Lot Abatement/Initial terms two years with two two-year renewal options,"Non Professional Services, Non Technology",10/02/2024 12:00:00 AM,10/01/2026 12:00:00 AM
Public Works,25000003821,500000.00,THE DAVEY TREE EXPERT COMPANY,Invitation to Bid,IFB /240012281 - Service Non Tech / Department of Public Works/ Tree Pruning / Initial term of Five (5) years with Two (2) - Two (2) year renewals and extension,"Non Professional Services, Non Technology",10/21/2024 12:00:00 AM,10/20/2029 12:00:00 AM
Public Works,25000004024,2000000.00,THE DAVEY TREE EXPERT COMPANY,Invitation to Bid,IFB /240012637 - Service Non Tech / Department of Public Works/ Tree Removal/ Initial term of Five (5) years with Two (2) - Two (2) year renewals and extension,"Non Professional Services, Non Technology",10/21/2024 12:00:00 AM,10/20/2029 12:00:00 AM
Public Works,25000004034,2000000.00,Orleans Company Tree Service,Invitation to Bid,IFB /240012637 - Service Non Tech / Department of Public Works/ Tree Removal/ Initial term of Five (5) years with Two (2) - Two (2) year renewals and extension,"Non Professional Services, Non Technology",10/21/2024 12:00:00 AM,10/20/2029 12:00:00 AM
Public Works,25000004035,500000.00,Orleans Company Tree Service,Invitation to Bid,IFB /240012281 - Service Non Tech / Department of Public Works/ Tree Pruning / Initial term of Five (5) years with Two (2) - Two (2) year renewals and extension,"Non Professional Services, Non Technology",10/21/2024 12:00:00 AM,10/20/2029 12:00:00 AM
Public Works,25000004234,96000.00,RUPPERT LANDSCAPE,Small Purchase,Req 250004175 Ruppert Landscape Urban Forestry (ARPA) - Ruppert Landscape - South Richmond Gateway Beautification Project Walmsley & Richmond Highway and Walmsley and Belmont GROUNDS MAINTENANCE (NOT TREE TRIMMING),"Non Professional Services, Non Technology",10/08/2024 12:00:00 AM,12/31/2026 12:00:00 AM
Public Works,25000004260,100204.00,James River Nurseries Inc,Request for Quotation,"Req 250004161 Urban Forestry (ARPA) - James River Nurseries, Inc - Broad Street Median Landscape Gateway Beautification Project - Median Landscape and Irrigation installation","Non Professional Services, Non Technology",10/11/2024 12:00:00 AM,12/31/2026 12:00:00 AM
Public Works,25000005738,72855.45,"DAVIS & GREEN, INC.",Small Purchase,Req 250006280 SCP-3rd Floor CC Reno D&G Electrical Req. for Quotes for the electrical work associated with the renovations of City Council Offices on the 3rd floor of City Hall,Construction - Term,11/25/2024 12:00:00 AM,01/10/2025 12:00:00 AM
"Parks, Recreation and Community Facilities",25000005968,495736.40,Playground Specialists Inc,Cooperative Agreement,Req 250005543 Playground Replacement-Forest Hill Park (Co-op documents via shared point link is listed in the notes to buyer) PLAYGROUND EQUIP (SEE 420-04 FOR BLEACHERS),Equipment - Non Technology,11/25/2024 12:00:00 AM,12/31/2025 12:00:00 AM
Public Works,25000005983,758999.05,ATLANTIC EMERGENCY SOLUTIONS INC,Cooperative Agreement,Requisition 250005355 ATLANTIC EMERGENCY SOULUTIONS (5) 2025 MCNEILUS 2016 HD 3.5 20YD REAR LOAD BODY. USE NJPA CONTRACT #110223-MCN REFUSE/GARBAGE COLLECTION BODIES & PARTS,Equipment - Non Technology,11/26/2024 12:00:00 AM,01/28/2027 12:00:00 AM
Public Works,25000007058,500000.00,COLONIAL FORD TRUCK SALES,Invitation to Bid,Req #250004782; Term contract for Ford parts and service for medium- and heavy-duty vehicles on an as-needed basis.,"Non Professional Services, Non Technology",01/22/2025 12:00:00 AM,01/21/2027 12:00:00 AM
Public Works,25000007667,18384950.00,WASTE MANAGEMENT OF VIRGINIA,,"Franchise Agreement for Citywide / Refuse Collections / 5 year initial term, 2x 5-year renewal options",,12/01/2024 12:00:00 AM,12/01/2029 12:00:00 AM
Public Utilities,25000007994,400000.00,FERGUSON ENTERPRISES INC,Invitation to Bid,"IFB250006704 Water and Gas Boxes, 5year/4-1yr renewals","Supplies, Non Technology",02/10/2025 12:00:00 AM,02/09/2030 12:00:00 AM
Public Utilities,25000008040,5000000.00,PD BROOKS TRAFFIC CONTROL,Invitation to Bid,Requisition 250004181 - Contract Modification 1 - Traffic Control Devices. 5 years initial and up to two (2) year renewal.,"Non Professional Services, Non Technology",01/31/2025 12:00:00 AM,01/30/2030 12:00:00 AM
Information Technology,25000009238,15000.00,Checkomatic Inc.,Invitation to Bid,Re: IFB 250006634 Envelope Form Printing Services,"Non Professional Services, Non Technology",04/22/2025 12:00:00 AM,04/21/2030 12:00:00 AM
Public Utilities,25000009351,2200000.00,E-MERGE SYSTEMS LLC,Invitation to Bid,"IFB - 250004896 - WWTP SCADA, Instrumentation And Control (I&C) System Maintenance And Repair - Initial Term (2) year; Two (2), 2-year Renewals","Non Professional Services, Non Technology",03/25/2025 12:00:00 AM,03/24/2027 12:00:00 AM
Public Utilities,25000009352,750000.00,Hampton Roads Automation,Invitation to Bid,"IFB - 250004896 - WWTP SCADA, Instrumentation And Control (I&C) System Maintenance And Repair - Initial Term (2) year; Two (2), 2-year Renewals","Non Professional Services, Non Technology",03/25/2025 12:00:00 AM,03/24/2027 12:00:00 AM
Information Technology,25000009562,17000.00,American Solutions for Business,Invitation to Bid,Re: IFB 250006634 Envelope Form Printing Services.,"Non Professional Services, Non Technology",04/22/2025 12:00:00 AM,04/21/2030 12:00:00 AM
Information Technology,25000009566,28000.00,Mailing Services Unlimited Inc.,Invitation to Bid,Re: IFB 250006634 Envelope Form Printing Services,"Non Professional Services, Non Technology",04/22/2025 12:00:00 AM,04/21/2030 12:00:00 AM
Information Technology,25000009575,11000.00,"Indiana Printing and Publishing Company, Inc",Invitation to Bid,Indiana Printing and Publishing Company Re: IFB 250006634 Envelope Form Printing Services,"Non Professional Services, Non Technology",,04/21/2030 12:00:00 AM
DGS,25000010003,2155852.00,ATLANTIC EMERGENCY SOLUTIONS INC,Cooperative Agreement,DGS - Co-op HGAC Contract #FS12-23 (2) 2026 Pierce Saber Engine 750 Tank 1500 Pumper Trucks,Equipment - Non Technology,03/31/2025 12:00:00 AM,11/23/2027 12:00:00 AM
Public Utilities,25000010016,250000.00,The Clorox Sales Company,Invitation to Bid,"IFB 250009395 / DPU / Brita Water Filter Pitchers, Two Year Initial Term.","Supplies, Non Technology",05/01/2025 12:00:00 AM,04/30/2027 12:00:00 AM
Public Utilities,25000010017,750000.00,FERGUSON ENTERPRISES INC,Invitation to Bid,"IFB 250009395 / DPU / Brita Water Filter Pitchers, Two-Year Initial Term",Commodity,04/10/2025 12:00:00 AM,04/09/2027 12:00:00 AM
Emergency Communication,25000010345,10000.00,T-Mobile,Cooperative Agreement,250006348 T-Mobile Fairfax County Public Schools Cooperative#4400006678,"Non Professional Services, Technology",07/01/2024 12:00:00 AM,06/30/2026 12:00:00 AM
Public Utilities,25000010685,6000000.00,MULCARE PIPELINE SOLUTIONS,Invitation to Bid,Requisition 250011692 - Change Contract 25000006552 from CPA to BPA with Punchout Catalog.,"Non Professional Services, Non Technology",12/27/2024 12:00:00 AM,12/26/2029 12:00:00 AM
Planning & Development Review,25000010735,1600000.00,ATAB LLC,Invitation to Bid,"IFB# 250005512 / PDR / Elevator Inspection Services / 2-Year Initial Term, (2) 2-Year Renewals","Non Professional Services, Non Technology",05/15/2025 12:00:00 AM,05/14/2027 12:00:00 AM
DGS,25000010988,639700.00,RICHMOND FORD LINCOLN,Invitation to Bid,Req #250007844 IFB Ford Parts Maintenance Service and Repairs DGS/Fleet 2 year initial term with 3 one year renewal options,"Non Professional Services, Non Technology",,06/29/2027 12:00:00 AM
Public Utilities,25000011157,1000000.00,POLYDYNE INC,Invitation to Bid,"IFB - 250007287 - Emulsion Polymer DPU - Clifford Williams (Shawn Hall) Initial Term (2) years; Two (2), 2-year Renewals","Non Professional Services, Non Technology",06/02/2025 12:00:00 AM,06/01/2027 12:00:00 AM
Police Department,25000012048,276000.00,INSIGHT PUBLIC SECTOR INC,Cooperative Agreement,FLOCK GROUP FALCON INFRASTRUCTURES PWER +LTE LICENSE PLATE RECOGNITION,Equipment - Technology,07/28/2025 12:00:00 AM,04/30/2028 12:00:00 AM
Police Department,25000012237,57110.00,Magnet Forensics LLC,Demand Payment,Req 250013475 Magnet Forensics: GrayKey,"Non Professional Services, Technology",06/24/2025 12:00:00 AM,06/23/2026 12:00:00 AM
Public Utilities,25000012374,92914.32,MYTHICS LLC,Cooperative Agreement,Renew Oracle Support of Service Suite 9.8 Apps Oracle Hardware and Software (ODA X9-2).This PO incorporates the terms of Mythics quote number SR-21186120-COR-FY25 and Maricopa County Contract # 180233-002,"Non Professional Services, Technology",05/30/2025 12:00:00 AM,11/30/2028 12:00:00 AM
Public Utilities,26000000390,2379255.90,TRI-STATE UTILITIES,Invitation to Bid,"Converted Pipe Vision LLC Contract #25000005487 to Tri-State Utilites LLC Contract #26000000390 Agreement. IFB 240006304/DPU - Sewer / Sewer Investigative Services & Cleaning / 2-year initial term with 2, two-year renewals.",Construction - Term,04/29/2024 12:00:00 AM,04/28/2026 12:00:00 AM
Public Works,26000001102,507690.00,MoboTrex Inc,Invitation to Bid,IFB#250012031 - Traffic Signal Control Devices,"Supplies, Non Technology",08/01/2025 12:00:00 AM,07/31/2026 12:00:00 AM
Public Utilities,26000001679,2682000.00,Superior Paving Corporation,Invitation to Bid,Requisition 250011650/Bituminous Asphalt/Initial Term 5yrs with 2 two-year renewal options,Commodity,08/25/2025 12:00:00 AM,08/24/2030 12:00:00 AM
Fire and Emergency Services,26000002353,120000.00,Emergency Services Consulting International,Cooperative Agreement,Req 250014410 RFD Co-op 2025 RFD Promotional Testing,"Non Professional Services, Non Technology",08/08/2025 12:00:00 AM,05/27/2026 12:00:00 AM
Public Utilities,26000002761,547402.25,CONSOLIDATED PIPE & SUPPLY,Invitation to Bid,IFB 250010826 - Non-Insulated and Insulated Gas Meter Valves. Initial two-year term with 2 two-year renewals and an extension option.,"Non Professional Services, Non Technology",08/23/2025 12:00:00 AM,08/22/2027 12:00:00 AM
Public Works,26000003093,89127.50,Lumin8 Technologies Services LLC,Request for Quotation,Traffic Engineering - Lumin8 - Fire Station #5 Fiber Optic Connection,"Non Professional Services, Non Technology",08/22/2025 12:00:00 AM,01/16/2026 12:00:00 AM
Public Utilities,26000003125,2360875.00,RAFTELIS FINANCIAL CONSULTANTS,Request for Proposal,"Requisition 250005384 - Utility Financial Consulting - Raftelis Financial Consultants, Inc","Non Professional Services, Non Technology",08/21/2025 12:00:00 AM,08/20/2030 12:00:00 AM
City Wide,26000003675,500000.00,"S+H Fahrenheit Search, LLC",Request for Proposal,"RFP No. 250010414 / Executive Talent Services / CityWide / 5-Year Initial Term, 2-Two Year Renewals","Non Professional Services, Non Technology",10/08/2025 12:00:00 AM,10/07/2030 12:00:00 AM
City Wide,26000003681,500000.00,Ralph Andersen & Associates,Request for Proposal,"RFP No. 250010414 / Executive Talent Services / CityWide / 5-Year Initial Term, 2-Two Year Renewals","Non Professional Services, Non Technology",09/23/2025 12:00:00 AM,09/22/2030 12:00:00 AM
Public Utilities,26000003722,1000000.00,CONSOLIDATED PIPE & SUPPLY,Invitation to Bid,IFB #250011687 is Natural Gas Service Fitting. The initial term is two (2) years with three (3) one-year renewals.,"Supplies, Non Technology",09/29/2025 12:00:00 AM,09/28/2027 12:00:00 AM
Public Works,26000003829,1579762.25,"Jeffrey Stack, Inc.",Invitation to Bid,Requisition#250012206 - Roadway Reconfiguration- Hopkins Road Bike Lane (UPC 113814)210 consecutive calendar days after NTP,Construction - Term,09/22/2025 12:00:00 AM,05/14/2026 12:00:00 AM
Public Utilities,26000004381,853127.00,Martins Construction Corp,Invitation to Bid,IFB-250011202 Water Treatment Access Bridge Project Repair DPU,Construction - Term,11/17/2025 12:00:00 AM,04/15/2026 12:00:00 AM
Not Listed,26000004662,16500000.00,"Inter-Con Security Systems, Inc.",Request for Proposal,"RFP 250008193 / DGS / Building Security / 2-year Initial, 2x 2-year renewals","Non Professional Services, Non Technology",10/01/2025 12:00:00 AM,10/02/2027 12:00:00 AM
Public Utilities,26000005612,4884924.87,"Synagro Central, LLC",Invitation to Bid,"Formerly #22000004155NUTRU-BLEND Org11,325,800 rel 6,440,875.13 rem 4,884,924.87/Management and Beneficial Use of Dewatered Biosolids / Initial Two (2) years with Two (2) - Two (2) 2 year renewal options and extens","Non Professional Services, Non Technology",10/21/2021 12:00:00 AM,10/20/2027 12:00:00 AM
Public Works,26000010010,500000.00,"Williams Emergency Vehicle Services, LLC",Invitation to Bid,IFB 260004460 / Fleet / Fire Truck Repair. Initial one year with two two-year options.,"Non Professional Services, Non Technology",03/06/2026 12:00:00 AM,03/05/2027 12:00:00 AM
Public Works,26000010011,500000.00,"WESTERN BRANCH DIESEL, INC.",Invitation to Bid,"IFB 260004460 / Fleet / Fire Truck Repair. Initial one year term with two, two-year renewals","Non Professional Services, Non Technology",03/06/2026 12:00:00 AM,03/05/2027 12:00:00 AM
City Wide,26000010840,500000.00,Blue Triton Brands,Invitation to Bid,"IFB 260010470 / Citywide / Bottled Water Delivery / 5 year initial term, 2x 2-year renewal options","Supplies, Non Technology",02/02/2026 12:00:00 AM,02/01/2031 12:00:00 AM
Fire and Emergency Services,26000010962,120740.00,Delta Fire & Safety Inc,Cooperative Agreement,260010648 Delta Fire & Safety Inc,"Supplies, Non Technology",02/02/2026 12:00:00 AM,10/31/2028 12:00:00 AM
